,month,state,permit,permit_recheck,handgun,long_gun,other,multiple,admin,prepawn_handgun,prepawn_long_gun,prepawn_other,redemption_handgun,redemption_long_gun,redemption_other,returned_handgun,returned_long_gun,returned_other,rentals_handgun,rentals_long_gun,private_sale_handgun,private_sale_long_gun,private_sale_other,return_to_seller_handgun,return_to_seller_long_gun,return_to_seller_other,totals
11467,2000-05,Missouri,0.0,,2675.0,7818.0,,81,0.0,,,,,,,,,,,,,,,,,,10574
11468,2000-05,Montana,0.0,,1586.0,3536.0,,100,0.0,,,,,,,,,,,,,,,,,,5222
11469,2000-05,Nebraska,945.0,,26.0,1229.0,,2,0.0,,,,,,,,,,,,,,,,,,2202
11470,2000-05,Nevada,0.0,,2006.0,1676.0,,117,0.0,,,,,,,,,,,,,,,,,,3799
11471,2000-05,New Hampshire,43.0,,1002.0,1444.0,,9,0.0,,,,,,,,,,,,,,,,,,2498
11472,2000-05,New Jersey,0.0,,1246.0,1452.0,,46,2.0,,,,,,,,,,,,,,,,,,2746
11473,2000-05,New Mexico,0.0,,2405.0,3227.0,,127,0.0,,,,,,,,,,,,,,,,,,5759
11474,2000-05,New York,4241.0,,737.0,5148.0,,7,24.0,,,,,,,,,,,,,,,,,,10157
11475,2000-05,North Carolina,8053.0,,1203.0,7626.0,,92,0.0,,,,,,,,,,,,,,,,,,16974
11476,2000-05,North Dakota,277.0,,406.0,1243.0,,22,0.0,,,,,,,,,,,,,,,,,,1948
11477,2000-05,Ohio,3.0,,6753.0,8260.0,,363,0.0,,,,,,,,,,,,,,,,,,15379
11478,2000-05,Oklahoma,0.0,,3634.0,5445.0,,244,0.0,,,,,,,,,,,,,,,,,,9323
11479,2000-05,Oregon,0.0,,3827.0,5258.0,,151,0.0,,,,,,,,,,,,,,,,,,9236
11480,2000-05,Pennsylvania,447.0,,2.0,30655.0,,1692,0.0,,,,,,,,,,,,,,,,,,32796
11481,2000-05,Puerto Rico,0.0,,329.0,87.0,,9,0.0,,,,,,,,,,,,,,,,,,425
11482,2000-05,Rhode Island,0.0,,333.0,256.0,,80,0.0,,,,,,,,,,,,,,,,,,669
11483,2000-05,South Carolina,485.0,,3332.0,2901.0,,92,0.0,,,,,,,,,,,,,,,,,,6810
11484,2000-05,South Dakota,0.0,,431.0,1455.0,,15,0.0,,,,,,,,,,,,,,,,,,1901
11485,2000-05,Tennessee,0.0,,7082.0,5646.0,,240,0.0,,,,,,,,,,,,,,,,,,12968
11486,2000-05,Texas,7547.0,,14332.0,19248.0,,819,1.0,,,,,,,,,,,,,,,,,,41947
11487,2000-05,Utah,0.0,,1530.0,2425.0,,51,0.0,,,,,,,,,,,,,,,,,,4006
11488,2000-05,Vermont,0.0,,475.0,733.0,,14,0.0,,,,,,,,,,,,,,,,,,1222
11489,2000-05,Virgin Islands,0.0,,0.0,0.0,,0,0.0,,,,,,,,,,,,,,,,,,0
11490,2000-05,Virginia,0.0,,5497.0,5727.0,,128,0.0,,,,,,,,,,,,,,,,,,11352
11491,2000-05,Washington,1236.0,,2661.0,4836.0,,136,11.0,,,,,,,,,,,,,,,,,,8880
11492,2000-05,West Virginia,0.0,,2632.0,4378.0,,133,0.0,,,,,,,,,,,,,,,,,,7143
11493,2000-05,Wisconsin,6.0,,3070.0,6845.0,,7,0.0,,,,,,,,,,,,,,,,,,9928
11494,2000-05,Wyoming,133.0,,743.0,1285.0,,41,0.0,,,,,,,,,,,,,,,,,,2202
11495,2000-04,Alabama,0.0,,6429.0,6406.0,,182,0.0,,,,,,,,,,,,,,,,,,13017
11496,2000-04,Alaska,0.0,,1241.0,2110.0,,81,0.0,,,,,,,,,,,,,,,,,,3432
11497,2000-04,Arizona,1183.0,,5884.0,4542.0,,198,139.0,,,,,,,,,,,,,,,,,,11946
11498,2000-04,Arkansas,680.0,,3647.0,6410.0,,171,0.0,,,,,,,,,,,,,,,,,,10908
11499,2000-04,California,18461.0,,24372.0,22963.0,,0,0.0,,,,,,,,,,,,,,,,,,65796
11500,2000-04,Colorado,0.0,,9910.0,10726.0,,1141,1.0,,,,,,,,,,,,,,,,,,21778
11501,2000-04,Connecticut,7009.0,,5.0,1.0,,0,6.0,,,,,,,,,,,,,,,,,,7021
11502,2000-04,Delaware,0.0,,465.0,632.0,,11,0.0,,,,,,,,,,,,,,,,,,1108
11503,2000-04,District of Columbia,0.0,,3.0,0.0,,0,0.0,,,,,,,,,,,,,,,,,,3
11504,2000-04,Florida,0.0,,10156.0,7068.0,,330,1158.0,,,,,,,,,,,,,,,,,,18712
11505,2000-04,Georgia,3420.0,,6666.0,6015.0,,180,5460.0,,,,,,,,,,,,,,,,,,21741
11506,2000-04,Guam,0.0,,9.0,6.0,,0,0.0,,,,,,,,,,,,,,,,,,15
11507,2000-04,Hawaii,419.0,,0.0,0.0,,0,0.0,,,,,,,,,,,,,,,,,,419
11508,2000-04,Idaho,0.0,,1688.0,3332.0,,92,1169.0,,,,,,,,,,,,,,,,,,6281
11509,2000-04,Illinois,23195.0,,5361.0,5945.0,,172,0.0,,,,,,,,,,,,,,,,,,34673
11510,2000-04,Indiana,3797.0,,1821.0,7664.0,,2,0.0,,,,,,,,,,,,,,,,,,13284
11511,2000-04,Iowa,3205.0,,34.0,2250.0,,1,11.0,,,,,,,,,,,,,,,,,,5501
11512,2000-04,Kansas,0.0,,2206.0,3563.0,,127,0.0,,,,,,,,,,,,,,,,,,5896
11513,2000-04,Kentucky,0.0,,6728.0,9352.0,,307,0.0,,,,,,,,,,,,,,,,,,16387
11514,2000-04,Louisiana,0.0,,4918.0,4695.0,,163,0.0,,,,,,,,,,,,,,,,,,9776
11515,2000-04,Maine,0.0,,1014.0,1896.0,,56,0.0,,,,,,,,,,,,,,,,,,2966
11516,2000-04,Mariana Islands,0.0,,0.0,0.0,,0,0.0,,,,,,,,,,,,,,,,,,0
11517,2000-04,Maryland,4189.0,,105.0,3141.0,,5,0.0,,,,,,,,,,,,,,,,,,7440
11518,2000-04,Massachusetts,831.0,,1617.0,834.0,,39,279.0,,,,,,,,,,,,,,,,,,3600
11519,2000-04,Michigan,10904.0,,104.0,11320.0,,5,0.0,,,,,,,,,,,,,,,,,,22333
11520,2000-04,Minnesota,2865.0,,2930.0,8899.0,,87,0.0,,,,,,,,,,,,,,,,,,14781
11521,2000-04,Mississippi,4.0,,4375.0,4628.0,,140,0.0,,,,,,,,,,,,,,,,,,9147
11522,2000-04,Missouri,0.0,,3194.0,10893.0,,138,0.0,,,,,,,,,,,,,,,,,,14225
11523,2000-04,Montana,0.0,,1761.0,3872.0,,111,0.0,,,,,,,,,,,,,,,,,,5744
11524,2000-04,Nebraska,1221.0,,34.0,1392.0,,3,0.0,,,,,,,,,,,,,,,,,,2650
11525,2000-04,Nevada,0.0,,2040.0,1817.0,,106,0.0,,,,,,,,,,,,,,,,,,3963
11526,2000-04,New Hampshire,47.0,,1135.0,1922.0,,11,0.0,,,,,,,,,,,,,,,,,,3115
11527,2000-04,New Jersey,0.0,,1559.0,1396.0,,30,1.0,,,,,,,,,,,,,,,,,,2986
11528,2000-04,New Mexico,0.0,,2302.0,3797.0,,141,0.0,,,,,,,,,,,,,,,,,,6240
11529,2000-04,New York,3995.0,,850.0,7639.0,,6,34.0,,,,,,,,,,,,,,,,,,12524
11530,2000-04,North Carolina,8225.0,,1154.0,9381.0,,81,0.0,,,,,,,,,,,,,,,,,,18841
11531,2000-04,North Dakota,288.0,,539.0,1652.0,,19,0.0,,,,,,,,,,,,,,,,,,2498
11532,2000-04,Ohio,0.0,,9283.0,11404.0,,483,0.0,,,,,,,,,,,,,,,,,,21170
11533,2000-04,Oklahoma,0.0,,4588.0,6688.0,,240,0.0,,,,,,,,,,,,,,,,,,11516
11534,2000-04,Oregon,0.0,,4327.0,6503.0,,163,0.0,,,,,,,,,,,,,,,,,,10993
11535,2000-04,Pennsylvania,369.0,,0.0,37781.0,,1039,0.0,,,,,,,,,,,,,,,,,,39189
11536,2000-04,Puerto Rico,0.0,,331.0,61.0,,14,0.0,,,,,,,,,,,,,,,,,,406
11537,2000-04,Rhode Island,0.0,,392.0,303.0,,89,0.0,,,,,,,,,,,,,,,,,,784
11538,2000-04,South Carolina,492.0,,3514.0,3478.0,,81,0.0,,,,,,,,,,,,,,,,,,7565
11539,2000-04,South Dakota,0.0,,536.0,1747.0,,17,0.0,,,,,,,,,,,,,,,,,,2300
11540,2000-04,Tennessee,0.0,,7564.0,6545.0,,235,0.0,,,,,,,,,,,,,,,,,,14344
11541,2000-04,Texas,5756.0,,14985.0,20674.0,,788,1.0,,,,,,,,,,,,,,,,,,42204
11542,2000-04,Utah,0.0,,1655.0,2672.0,,52,0.0,,,,,,,,,,,,,,,,,,4379
11543,2000-04,Vermont,0.0,,580.0,1116.0,,12,0.0,,,,,,,,,,,,,,,,,,1708
